Price;Boat Type;Manufacturer;Condition ;Fuel ;Length;Width;Material;Country;City
CHF 3337;Motor Yacht;Rigiflex power boats;new boat from stock;;4.0;1.9;;Switzerland;
EUR 3490;Center console boat;Terhi power boats;new boat from stock;;4.0;1.5;Thermoplastic;Germany; Bönningstedt
CHF 3770;Sport Boat;Marine power boats;new boat from stock;;3.69;1.42;Aluminium;Switzerland; Lake of Zurich
DKK 25900;Sport Boat;Pioner power boats;new boat from stock;;3.0;1.0;;Denmark; Svendborg
EUR 3399;Fishing Boat;Linder power boats;new boat from stock;;3.55;1.46;Aluminium;Germany; Bayern
CHF 3650;Sport Boat;Linder power boats;new boat from stock;;4.03;1.56;Aluminium;Switzerland; Lake Constance
CHF 3600;Catamaran;;Used boat;Unleaded;6.2;2.38;Aluminium;Switzerland; Neuenburgersee
DKK 24800;Sport Boat;;Used boat;;3.0;;;Denmark; Svendborg
EUR 3333;Fishing Boat;Crescent power boats;new boat from stock;;3.64;1.37;;Germany; Bayern
EUR 3300;Pontoon Boat;Whaly power boats;new boat from stock;;4.35;1.73;;Italy; Dormelletto 
CHF 3500;Fishing Boat;Terhi power boats;Used boat;Electric;4.35;1.75;GRP;Switzerland; Seengen
CHF 3480;Fishing Boat;Marine power boats;new boat from stock;;4.13;1.41;Aluminium;Switzerland; Lake of Zurich
EUR 3500;Sport Boat;GS Nautica power boats;Used boat;;4.7;2.0;GRP;Italy; Lake Garda
CHF 4600;Runabout;Kimple power boats;new boat from stock;;4.4;1.65;Aluminium;Switzerland; Zugersee
CHF 4500;Fishing Boat;Italmarine power boats;Used boat;Unleaded;3.72;1.33;Aluminium;Switzerland; Vierwaldstättersee
CHF 4400;Deck Boat;Buster power boats;new boat from stock;Unleaded;3.88;1.49;Aluminium;Switzerland; Safenwil
CHF 4380;Sport Boat;Linder power boats;new boat from stock;;4.31;1.64;Aluminium;Switzerland; Lake Constance
DKK 30000;Sport Boat;;Used boat;;4.0;1.0;;Denmark; Svendborg
EUR 4000;Pilothouse;Bénéteau power boats;Used boat;Diesel;8.0;2.84;PVC;France; MARTGUES
EUR 4000;Cabin Boat;;Used boat;Unleaded;6.37;2.31;GRP;Germany; Bayern
EUR 3999;Fishing Boat;Linder power boats;new boat from stock;;3.55;1.46;Aluminium;Germany; Bayern
CHF 4267;Fishing Boat;Quicksilver (Brunswick Marine) power boats;new boat from stock;Unleaded;3.78;1.71;GRP;Switzerland; Luganersee
EUR 3930;Sport Boat;Linder power boats;new boat from stock;Unleaded;4.31;1.64;Aluminium;Germany; Nordrhein-Westfalen
EUR 3900;Sport Boat;Kammin power boats;Used boat;Unleaded;5.6;2.1;GRP;Germany; BOOTSSERVICE ENK IN TREIS KARDEN
